year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1926    1.1    1.4    1.3    3.4    3.6    7.3    9.7    9.4    7.2    1.9    1.1    1.2    0.12    2.77    8.79    3.36    4.05
1927    0.5    0.4    1.6    1.5    3.3    5.1    9.9    9.3    6.2    4.4    1.8   -1.4    0.69    2.15    8.16    4.16    3.59
1928    0.5    0.5    1.0    2.5    4.4    5.4    8.8    8.8    5.9    4.3    2.7    0.3   -0.13    2.64    7.67    4.33    3.77
1929   -2.4   -2.0    0.3    0.8    4.4    6.4    8.8    8.7    8.2    4.0    2.0    1.3   -1.35    1.84    8.00    4.70    3.41
1930    0.3   -2.2   -0.7    2.9    4.1    7.5    9.4    9.5    7.7    5.1    0.6    0.9   -0.15    2.08    8.82    4.51    3.80
1931   -0.6   -0.7   -1.6    1.9    4.9    7.0    9.6    7.9    6.1    4.2    3.6    2.5   -0.12    1.72    8.14    4.63    3.75
1932    1.9    0.5    0.4    0.6    4.3    7.1    9.7    9.4    6.6    3.4    1.8    1.7    1.66    1.80    8.76    3.93    3.98
1933   -1.3   -0.4    1.6    3.5    5.2    8.2   11.0   10.0    7.8    5.2    1.6    0.2   -0.00    3.45    9.78    4.88    4.42
1934    1.4    1.8   -0.5    1.6    4.3    7.4   10.2    9.1    7.6    4.5    1.4    3.7    1.08    1.80    8.91    4.52    4.39
1935    1.0    0.4    1.6    1.8    3.1    7.7    9.0    9.6    6.9    3.9    1.7   -1.5    1.74    2.17    8.78    4.16    3.78
1936   -1.3   -1.6    1.7    0.4    4.7    7.0    9.4    9.7    8.1    4.1    1.3    1.0   -1.48    2.30    8.73    4.49    3.74
1937    1.0   -0.4   -2.0    3.4    5.1    7.3    9.1    9.3    7.0    4.7    1.5   -1.5    0.58    2.13    8.54    4.40    3.72
1938    1.0    0.4    4.1    2.4    3.9    7.2    8.6    8.7    7.5    5.3    3.8    0.3   -0.05    3.45    8.18    5.52    4.44
1939   -1.4    1.6    1.1    2.2    5.0    6.9    9.0    9.8    7.9    3.1    3.0    0.2    0.12    2.76    8.60    4.61    4.04
1940   -3.9   -1.1    0.1    2.2    5.7    8.2    8.6    8.5    5.9    4.8    1.9    0.3   -1.60    2.67    8.46    4.21    3.45
1941   -3.6   -1.9   -1.0    1.0    3.2    7.1    9.6    8.3    9.0    4.8    1.7    1.7   -1.75    1.09    8.38    5.17    3.36
1942   -1.6   -2.8   -0.5    2.0    3.5    6.5    8.5    9.9    7.1    4.8    1.0    2.0   -0.84    1.63    8.33    4.28    3.40
1943    0.2    1.8    2.0    3.9    4.3    7.5    8.4    8.4    6.7    5.9    2.1    0.7    1.29    3.41    8.08    4.94    4.34
1944    1.4   -0.5    0.4    3.9    4.7    7.0   10.0    9.7    5.9    4.0    0.4    0.3    0.56    2.97    8.91    3.46    3.95
1945   -4.2    1.8    3.3    3.1    4.5    7.5   10.0    9.3    8.3    5.8    3.4    1.3   -0.76    3.64    8.94    5.82    4.52
1946   -0.7    0.6    0.4    3.1    3.9    6.8    9.5    7.8    8.2    4.0    2.7   -0.6    0.39    2.46    8.05    4.97    3.82
1947   -0.7   -4.9   -3.2    2.3    5.5    8.1    9.6   10.1    7.5    5.8    1.6    1.0   -2.00    1.53    9.28    4.97    3.61
1948   -0.9    0.3    2.1    2.6    3.4    7.2    9.1    8.7    7.4    4.4    3.0    1.7    0.12    2.74    8.37    4.95    4.12
1949    0.7    1.0    0.2    3.5    4.3    6.9    9.5    9.7    8.8    6.3    2.4    0.7    1.15    2.63    8.70    5.85    4.51
1950    1.2   -1.0    2.1    1.2    4.4    8.2    9.2    9.0    7.0    4.5    0.6   -2.6    0.34    2.59    8.81    4.02    3.68
1951   -0.8   -1.2   -1.1    0.3    3.2    6.1    9.2    8.6    7.6    5.6    3.4    1.0   -1.54    0.81    7.99    5.53    3.52
1952   -3.0   -0.8    1.3    3.1    6.1    6.7    9.1    9.1    5.1    3.7   -0.3   -0.5   -0.92    3.49    8.30    2.83    3.31
1953    1.0    0.7    0.6    0.5    5.6    8.0    9.2    9.2    8.5    5.8    4.0    2.1    0.39    2.28    8.79    6.10    4.63
1954   -0.0   -1.8    0.0    1.6    5.2    7.2    8.1    8.6    5.9    5.2    1.5    1.8    0.18    2.29    7.99    4.23    3.66
1955   -1.9   -4.0   -1.3    2.9    2.9    6.8    9.4   10.2    8.1    3.5    3.5    0.1   -1.31    1.48    8.80    5.04    3.39
1956   -1.4   -2.6    1.0    0.5    5.2    6.3    9.0    6.9    8.1    4.8    2.6    2.3   -1.27    2.24    7.40    5.15    3.57
1957    0.5   -0.9    3.6    2.5    3.6    6.7    9.4    9.1    6.3    5.2    2.7    0.5    0.67    3.26    8.41    4.74    4.14
1958   -1.7   -1.6   -1.7    1.7    3.3    7.1    9.2    9.4    9.0    5.8    2.2   -0.2   -0.93    1.07    8.58    5.66    3.56
1959   -3.4   -0.3    2.0    2.9    5.4    7.8    9.6   10.3    7.1    6.7    2.8    0.9   -1.34    3.43    9.24    5.57    4.34
1960   -0.9   -2.3    1.4    3.5    5.6    8.5    8.7    8.6    6.7    5.8    1.7   -1.0   -0.73    3.49    8.62    4.73    3.87
1961   -1.1    1.6    3.4    3.3    4.4    7.2    8.6    8.6    8.2    5.6    1.1   -2.6   -0.21    3.71    8.12    4.98    4.04
1962   -0.1    0.1   -2.4    1.1    4.1    6.8    7.8    7.9    6.9    6.1    1.4   -0.4   -0.88    0.94    7.55    4.82    3.31
1963   -3.9   -4.5    0.7    2.4    3.9    8.0    8.2    8.3    7.1    5.3    2.1   -0.2   -2.91    2.34    8.19    4.83    3.16
1964    0.9    0.4    0.6    3.2    6.2    6.9    9.0    8.2    7.0    3.8    2.3   -1.0    0.35    3.35    8.02    4.34    3.96
1965   -1.4   -0.4   -0.6    1.5    5.0    7.8    7.2    8.0    7.2    5.3   -0.2   -1.1   -0.93    2.00    7.70    4.09    3.23
1966   -0.8   -0.7    1.6    0.7    4.0    8.9    8.2    7.7    8.5    3.9    0.5   -0.1   -0.89    2.14    8.26    4.33    3.57
1967    0.8    1.3    1.5    2.1    3.8    7.0    9.0    8.9    7.6    4.4    1.4    0.6    0.65    2.45    8.30    4.48    4.04
1968   -0.3   -3.0    0.8    1.7    3.1    7.3    8.5    8.3    7.7    6.6    1.7   -0.4   -0.85    1.86    8.04    5.34    3.52
1969    0.6   -3.5   -1.6    0.9    4.5    7.0    9.5   10.2    7.6    7.5   -0.8   -0.4   -0.99    1.26    8.94    4.79    3.52
1970   -0.6   -2.9   -1.1    0.6    6.0    8.4    8.2    9.6    7.9    5.1    1.9    0.7   -1.27    1.84    8.73    4.94    3.68
1971    0.9    0.9    0.6    1.9    4.8    6.0    8.9    8.9    7.9    5.5    1.6    3.4    0.82    2.43    7.96    5.03    4.30
1972    0.4   -0.1    0.7    2.6    4.9    5.7    8.4    8.0    5.4    5.0    0.9    1.0    1.25    2.72    7.40    3.79    3.60
1973    0.9   -0.8    0.8    1.1    4.5    7.5    9.1    9.0    7.4    3.6    0.8   -0.1    0.44    2.14    8.58    3.94    3.69
1974    1.6    1.0    0.5    1.4    4.9    6.7    8.4    8.5    6.0    3.3    1.7    2.5    0.84    2.26    7.88    3.64    3.89
1975    0.7    0.0   -0.5    2.5    2.9    6.8    9.7   10.7    6.4    5.5    1.7    2.0    1.13    1.63    9.09    4.54    4.07
