National Communication Categories,SG Source Sector,CCP mapping,IPCC,SourceName,Pollutant,EmissionYear,Emissions (MtCO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2005,0.065537353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2006,0.057618257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2007,0.055932367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2008,0.040012826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2009,0.035338468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2010,0.032504458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2011,0.033110107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2012,0.034719438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2013,0.034289221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2014,0.032953366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2015,0.03056159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2016,0.030924091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2017,0.030216028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
